Year,Singapore,Burma,Thailand,Saigon
1901,195.90,16.20,9.21,148.86
1902,153.78,25.83,6.29,108.52
1903,107.05,14.23,0.08,17.48
1904,142.73,36.80,9.51,42.67
1905,123.79,44.78,26.76,25.01
1906,122.76,46.39,42.17,75.80
1907,81.00,56.57,17.78,45.87
1908,93.33,46.96,37.63,105.81
1909,124.56,76.02,24.39,132.43
1910,169.42,297.74,30.55,173.19
1911,156.32,343.08,37.69,38.11
1912,118.66,268.84,16.30,2.12
1913,161.48,130.37,34.63,141.26
1914,143.20,89.02,29.66,161.33
1915,188.92,98.74,49.12,206.89
1916,288.41,212.14,30.37,104.52
1917,384.75,146.94,35.70,127.50
1918,371.46,135.63,61.27,68.69
1919,88.62,3.87,115.44,60.78
1920,40.49,25.85,1.17,140.54
1921,177.92,99.91,71.65,389.82
1922,153.28,148.84,69.24,222.51
1923,121.11,157.83,77.49,36.94
1924,119.62,169.13,68.56,75.12
1925,151.32,118.60,91.14,149.21
1926,173.57,180.90,132.93,113.45
1927,181.91,129.68,72.24,57.09
1928,158.61,119.65,106.51,158.39
1929,152.90,232.03,114.02,199.49
1930,127.33,269.80,68.03,116.33
1931,102.73,174.06,134.28,103.11
1932,85.63,111.66,100.11,66.68
1933,91.49,102.44,56.50,73.10
1934,84.50,79.27,40.54,37.99
1935,110.06,115.35,49.19,78.47
1936,114.69,58.06,15.86,16.13
1937,78.95,55.57,18.68,5.56
1938,125.12,116.76,32.37,27.57
1939,81.09,90.92,54.09,36.61
1940,21.10,7.44,74.30,5.71
